"File","Hits","Sample"
"components/HeroShowcaseVisual.tsx","0",""
"lib/canvas-section-fixture.ts","6",".\scripts\capture-77cha-canvas-table-edit.ts:9:import { buildCanvasQaFixtureSection } from ""../lib/canvas-section-fixture""; || .\scripts\capture-76cha-canvas-stabilization.ts:12:} from ""../lib/canvas-section-fixture""; || .\scripts\capture-75cha-canvas-ai-image.ts:8:import { buildCanvasQaFixtureSection } from ""../lib/canvas-section-fixture"";"
"lib/copy-orchestrator/claude-structure.ts","3",".\lib\copy-orchestrator\pipeline.ts:4:} from ""@/lib/copy-orchestrator/claude-structure""; || .\lib\copy-orchestrator\index.ts:29:} from ""@/lib/copy-orchestrator/claude-structure""; || .\scripts\116cha-copy-tone-smoke.ts:8:import { buildStructureSystemPrompt } from ""../lib/copy-orchestrator/claude-structure"";"
"lib/copy-orchestrator/deepseek-copy.ts","7",".\lib\copy-orchestrator\pipeline.ts:8:} from ""@/lib/copy-orchestrator/deepseek-copy""; || .\lib\copy-orchestrator\index.ts:36:} from ""@/lib/copy-orchestrator/deepseek-copy""; || .\lib\social-mini\generate-copy.ts:2: * ?몄뒪?쨌釉붾줈洹?誘몃땲??DeepSeek 移댄뵾 ??deepseek-copy.ts ?몄텧 ?⑦꽩 ?숈씪. || .\lib\social-mini\generate-copy.ts:2: * ?몄뒪?쨌釉붾줈洹?誘몃땲??DeepSeek 移댄뵾 ??deepseek-copy.ts ?몄텧 ?⑦꽩 ?숈씪."
"lib/copy-orchestrator/index.ts","579",".\components\BackdropCandidatePicker.tsx:51:          {urls.map((url, index) => { || .\components\BackdropCandidatePicker.tsx:52:            const isSelected = index === selected; || .\components\BackdropCandidatePicker.tsx:57:                  data-testid={`backdrop-candidate-${index}`} || .\cursor_brief_32cha_full_sequence.md:56:git add supabase/functions/cleanup-expired-images/index.ts"
"lib/copy-orchestrator/pipeline.ts","119",".\cursor_brief_22cha_info_color_quality.md:453:`lib/photo-pipeline-client.ts`??`enhanceImages()`(128??)??`themeColors`瑜??꾨옒泥섎읆 留뚮뱺??.\cursor_brief_22cha_info_color_quality.md:467:?곌퀬 ?덈떎 ????媛믪? `enhanceImages()`???몄텧遺(`photo-pipeline-client.ts` 411~420???먯꽌 ?대? || .\cursor_brief_22cha_info_color_quality.md:471:## 2-1. `lib/photo-pipeline-client.ts` ??`theme` ?뚮씪誘명꽣 異붽? 諛??곗꽑 ?ъ슜 || .\cursor_brief_21cha_backdrop_color_diversity.md:134:5. `lib/photo-pipeline-client.ts`:"
"lib/copy-orchestrator/types.ts","365",".\cursor_brief_22cha_info_color_quality.md:43:## 1-1. `lib/types/generate.ts` ???좉퇋 ???2醫?異붽? || .\app\dev\detail-preview\page.tsx:12:import type { DetailSection } from ""@/lib/types/generate""; || .\app\create\social\result\page.tsx:9:import type { DetailSection } from ""@/lib/types/generate"";"
"lib/copy-orchestrator/validate-copy.ts","7",".\lib\copy-orchestrator\index.ts:24:} from ""@/lib/copy-orchestrator/validate-copy""; || .\lib\copy-orchestrator\deepseek-copy.ts:15:} from ""@/lib/copy-orchestrator/validate-copy""; || .\lib\copy-orchestrator\claude-structure.ts:17:} from ""@/lib/copy-orchestrator/validate-copy"";"
"lib/cost/index.ts","579",".\cursor_brief_22cha_info_color_quality.md:298:          key={`highlight_box-${index}`} || .\cursor_brief_22cha_info_color_quality.md:307:            onChange={(heading) => edit?.onChange(index, { ...section, heading })} || .\cursor_brief_22cha_info_color_quality.md:340:                      edit?.onChange(index, { ...section, cards: nextCards }); || .\cursor_brief_32cha_full_sequence.md:56:git add supabase/functions/cleanup-expired-images/index.ts"
"lib/detail-export-score.ts","1",".\scripts\verify-detail-upgrade.ts:21:import { scoreDetailPageExport } from ""../lib/detail-export-score"";"
"lib/detail-page-score.ts","1",".\scripts\verify-detail-upgrade.ts:20:import { scoreDetailPageStructure } from ""../lib/detail-page-score"";"
"lib/page-pipeline/index.ts","579",".\cursor_brief_22cha_info_color_quality.md:298:          key={`highlight_box-${index}`} || .\cursor_brief_22cha_info_color_quality.md:307:            onChange={(heading) => edit?.onChange(index, { ...section, heading })} || .\cursor_brief_22cha_info_color_quality.md:340:                      edit?.onChange(index, { ...section, cards: nextCards }); || .\cursor_brief_32cha_full_sequence.md:56:git add supabase/functions/cleanup-expired-images/index.ts"
"lib/page-pipeline/job-store.ts","26",".\app\api\generations\route.ts:10:} from ""@/lib/image-router/jobs/job-store-config""; || .\lib\page-pipeline\pipeline.ts:24:} from ""@/lib/page-pipeline/job-store""; || .\lib\page-pipeline\index.ts:25:} from ""@/lib/page-pipeline/job-store"";"
"lib/page-pipeline/map-to-sections.ts","2",".\lib\page-pipeline\pipeline.ts:25:import { mapCopyToDetailSections } from ""@/lib/page-pipeline/map-to-sections""; || .\lib\page-pipeline\index.ts:27:export { mapCopyToDetailSections } from ""@/lib/page-pipeline/map-to-sections"";"
"lib/page-pipeline/pipeline.ts","111",".\cursor_brief_34cha_keeporiginal_revert.md:7:`lib/photo-pipeline-client.ts`??`enhanceImages()` 硫붿씤 猷⑦봽(?꾩옱 320~353?????쇱슫?쒕줈鍮?.\cursor_brief_34cha_keeporiginal_revert.md:67:?섎룎由???`lib/photo-pipeline-client.ts` diff瑜??뺥솗??洹???以?肄붾뱶+二쇱꽍)留?吏?좊뒗吏 || .\cursor_brief_33cha_backdrop_repetition.md:11:`lib/photo-pipeline-client.ts`??`enhanceImages()`, 198~202?? || .\cursor_brief_32cha_full_sequence.md:59:git add app/api/generate-backdrop/route.ts lib/photo-pipeline-client.ts app/create/draft/page.tsx"
