"Name","File","InternalUses","Sample"
"COSMETICS_ANNOTATION_SLOTS","lib/apply-cosmetics-annotations.ts","1",".\lib\apply-cosmetics-annotations.ts:24:  for (const slot of COSMETICS_ANNOTATION_SLOTS) {"
"AUTOFILL_VISION_MAX_IMAGES","lib/autofill-vision-pick.ts","1",".\lib\autofill-vision-pick.ts:1:const AUTOFILL_VISION_MAX_IMAGES = 4;"
"PHOTOGRAPHY_TEMPLATES","lib/backdrop-prompt-templates.ts","5",".\lib\backdrop-prompt-templates.ts:144: * PHOTOGRAPHY_TEMPLATES(?섎텇/荑⑤쭅/?곸뼇/?대젋吏????꾨? ?좊━쨌臾쇰갑?맞룰굅??紐⑦떚?꾨씪 || .\lib\backdrop-prompt-templates.ts:267:    return CATEGORY_PHOTOGRAPHY_TEMPLATES[category] ?? PHOTOGRAPHY_TEMPLATES.minimal;"
"CATEGORY_PHOTOGRAPHY_TEMPLATES","lib/backdrop-prompt-templates.ts","1",".\lib\backdrop-prompt-templates.ts:267:    return CATEGORY_PHOTOGRAPHY_TEMPLATES[category] ?? PHOTOGRAPHY_TEMPLATES.minimal;"
"updateCanvasSection","lib/canvas-section-mutations.ts","2",".\lib\canvas-section-mutations.ts:27:  return updateCanvasSection(section, (elements) => || .\lib\canvas-section-mutations.ts:33:  return updateCanvasSection(section, (elements) => elements.filter((el) => el.id !== elementId));"
"DEFAULT_THEME","lib/category-theme.ts","2",".\lib\category-theme.ts:110:  ""湲고?"": DEFAULT_THEME, || .\lib\category-theme.ts:114:  return CATEGORY_THEMES[category] ?? DEFAULT_THEME;"
"CONCEPT_EFFECT_MAP","lib/concept-effects.ts","3",".\lib\concept-effects.ts:173:    ? CONCEPT_EFFECT_MAP.filter((spec) => BEAUTY_EFFECT_IDS.includes(spec.id)) || .\lib\concept-effects.ts:174:    : CONCEPT_EFFECT_MAP;"
"maxConceptEffects","lib/concept-effects.ts","1",".\lib\concept-effects.ts:187:  const limit = maxConceptEffects();"
"TOKEN_COST_PER_COMPLETION","lib/cost/saas-pricing-config.ts","2",".\lib\cost\saas-pricing-config.ts:131:    ? TOKEN_COST_PER_COMPLETION.short || .\lib\cost\saas-pricing-config.ts:132:    : TOKEN_COST_PER_COMPLETION.long;"
"ANNUAL_FREE_MONTHS","lib/cost/saas-pricing-config.ts","2",".\lib\cost\saas-pricing-config.ts:107:/** ?곌컙 寃곗젣 ??臾대즺濡??쒓났?섎뒗 媛쒖썡 ??(?곌컙媛 = ?붽? 횞 (12 - ANNUAL_FREE_MONTHS)) */ || .\lib\cost\saas-pricing-config.ts:111:  return tier.monthlyPriceKrw * (12 - ANNUAL_FREE_MONTHS);"
"remapIndex","lib/dedupe-image-urls.ts","5",".\lib\dedupe-image-urls.ts:82:        imageIndex: remapIndex(indexMap, s.imageIndex), || .\lib\dedupe-image-urls.ts:88:        imageIndexes: (s.imageIndexes ?? []).map((i) => remapIndex(indexMap, i)),"
"DECORATION_OPACITY","lib/design-tokens.ts","1",".\lib\design-tokens.ts:377:  return hexToRgba(theme.accent, DECORATION_OPACITY);"
"HERO_TRANSITION_CLIP_PATH","lib/design-tokens.ts","1",".\lib\design-tokens.ts:449:  heroTransitionClip: HERO_TRANSITION_CLIP_PATH,"
"IMAGE_RATIO","lib/design-tokens.ts","33",".\lib\design-tokens.ts:532:  hero: IMAGE_RATIO.hero, || .\lib\design-tokens.ts:533:  image_text: IMAGE_RATIO.square,"
"detectMaterialHallucinations","lib/detail-page-qa.ts","1",".\lib\detail-page-qa.ts:301:  const materialIssues = detectMaterialHallucinations({"
"PREVIEW_COLLAPSED_BODY_COUNT","lib/detail-preview-collapse.ts","1",".\lib\detail-preview-collapse.ts:26:  while (endIdx < sections.length && bodyShown < PREVIEW_COLLAPSED_BODY_COUNT) {"
"collectSectionPlainText","lib/detail-seo-text.ts","1",".\lib\detail-seo-text.ts:128:  const sectionTexts = opts.sections.flatMap(collectSectionPlainText);"
"resolveHeadlineLetterSpacing","lib/detail-typography.ts","1",".\lib\detail-typography.ts:64:    letterSpacing: resolveHeadlineLetterSpacing(category),"
"resolveHeadlineFontWeight","lib/detail-typography.ts","1",".\lib\detail-typography.ts:65:    fontWeight: resolveHeadlineFontWeight(category),"
"hasPlausibleGraspMapping","lib/detect-held-object-placement.ts","1",".\lib\detect-held-object-placement.ts:316:  if (!hasPlausibleGraspMapping(graspRegions, handRegions, maxGraspAreaFractionOfHand)) {"
"isHeldObjectPlacementReasonable","lib/detect-held-object-placement.ts","1",".\lib\detect-held-object-placement.ts:319:  if (!isHeldObjectPlacementReasonable(placement)) {"
"FOOD_CATEGORY","lib/food-compliance.ts","1",".\lib\food-compliance.ts:47:  return category === FOOD_CATEGORY;"
"heroWordmarkInlineStyle","lib/hero-brand-mark.ts","1",".\lib\hero-brand-mark.ts:123:    <p style=""${heroWordmarkInlineStyle(decision.script)}"" data-wordmark-script=""${decision.script}"">${escapeHtml(decision.displayName)}</p>"
"heroWordmarkWrapInlineStyle","lib/hero-brand-mark.ts","1",".\lib\hero-brand-mark.ts:122:  return `<div style=""${heroWordmarkWrapInlineStyle()}"" data-hero-brand-mark=""wordmark"" data-wordmark-scrim=""local"">"
"nonemptyHighlightCards","lib/highlight-box-guard.ts","2",".\lib\highlight-box-guard.ts:17:    const cards = nonemptyHighlightCards(section); || .\lib\highlight-box-guard.ts:41:        nonemptyHighlightCards(section).length >= 1,"
"isProductImageOrigin","lib/image-origins.ts","2",".\lib\image-origins.ts:34:    isProductImageOrigin(list[i]) ? list[i] : fallback, || .\lib\image-origins.ts:53:    if (isProductImageOrigin(src[old])) {"
"PRODUCT_IMAGE_ROLES","lib/image-roles.ts","1",".\lib\image-roles.ts:133:    (PRODUCT_IMAGE_ROLES as readonly string[]).includes(value)"
"isProductImageRole","lib/image-roles.ts","6",".\lib\image-roles.ts:144:    return isProductImageRole(raw) ? raw : defaultRoleForIndex(i); || .\lib\image-roles.ts:192:      !isProductImageRole(judgment.role)"
"VISION_ROLE_CONFIDENCE_MIN","lib/image-roles.ts","2",".\lib\image-roles.ts:181:    confidenceMin = VISION_ROLE_CONFIDENCE_MIN, || .\lib\image-roles.ts:258:  confidenceMin = VISION_ROLE_CONFIDENCE_MIN,"
"getApiJobStore","lib/image-router/jobs/async-generation-service.ts","4",".\lib\image-router\jobs\async-generation-service.ts:57:  const store = params.store ?? getApiJobStore(false); || .\lib\image-router\jobs\async-generation-service.ts:124:      await processGenerationJob(jobId, getApiJobStore(true));"
"getWorkerJobStore","lib/image-router/jobs/generation-worker.ts","1",".\lib\image-router\jobs\generation-worker.ts:155:  const store = options.store ?? getWorkerJobStore();"
"isSupabaseJobStore","lib/image-router/jobs/job-store-config.ts","1",".\lib\image-router\jobs\job-store-config.ts:27:  if (!isSupabaseJobStore()) return;"
"KONTEXT_EMPTY_HAND_SCENE_LOCK","lib/image-router/providers/kontext-prompts.ts","1",".\lib\image-router\providers\kontext-prompts.ts:42:      KONTEXT_EMPTY_HAND_SCENE_LOCK,"
"ALLOWED_IMAGE_TYPES","lib/image-upload.ts","1",".\lib\image-upload.ts:5:  if (!ALLOWED_IMAGE_TYPES.includes(file.type)) {"
"MAX_IMAGE_BYTES","lib/image-upload.ts","1",".\lib\image-upload.ts:8:  if (file.size > MAX_IMAGE_BYTES) {"
"orderImagesForFeed","lib/instagram-feed.ts","1",".\lib\instagram-feed.ts:107:  const imageUrls = orderImagesForFeed(opts.imageUrls, opts.imagePaths);"
"MAX_PRODUCT_FRAME_HEIGHT_RATIO","lib/lifestyle-physical-scale.ts","1",".\lib\lifestyle-physical-scale.ts:72:    ratio <= MAX_PRODUCT_FRAME_HEIGHT_RATIO && ratio >= MIN_PRODUCT_FRAME_HEIGHT_RATIO"
"MIN_PRODUCT_FRAME_HEIGHT_RATIO","lib/lifestyle-physical-scale.ts","1",".\lib\lifestyle-physical-scale.ts:72:    ratio <= MAX_PRODUCT_FRAME_HEIGHT_RATIO && ratio >= MIN_PRODUCT_FRAME_HEIGHT_RATIO"
"estimateHandWidthPx","lib/lifestyle-physical-scale.ts","1",".\lib\lifestyle-physical-scale.ts:103:  const handWidthPx = estimateHandWidthPx(opts.handRegions, opts.sceneWidthPx);"
